No.,Scheme,Link,Crop_Type,Farm_Size,Crop_Names,Water_Availability,Annual_Income_of_Farmer,District,,
20,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Banana,Yes,<=150000,Nashik,,
21,Birsa Munda Krishi Kranti Yojana,https://agriwell.mahaonline.gov.in/,All,<=15,All,Yes,<=150000, Pune,,
22,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Oilseeds,             NA,Soybean,Yes,<=150000,All,,
23,Bhausaheb Fundkar Falbaug Lagwad Yojana,https://mr.vikaspedia.in/agriculture/policies-and-schemes/92d93e90a93893e93994792c-92b941902921915930-92b93392c93e917-93293e917935921-92f94b91c92893e,Fruits,<25,Mango,Yes,NA,All,,
24,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Urad,Yes,NA,Osmanabad,,
25,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Urad,Yes,NA,Latur,,
26,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Urad,Yes,NA,Beed,,
27,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Urad,Yes,NA,Nanded,,
28,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Urad,Yes,NA,Aurangabad,,
29,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Mango,Yes,<=100000,Ratnagiri,,
30,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Mango,Yes,<=100000,Sindhudurg,,
31,Oil palm area expansion programme (RKVY),https://rkvy.nic.in/LoginForm.aspx,Oilpalm ,NA,Oilpalm,Yes,NA,Sindhudurg,,orange
32,Oil palm area expansion programme (RKVY),https://rkvy.nic.in/LoginForm.aspx,Oilpalm ,NA,Oilpalm,Yes,NA,Thane,,orange
33,Integrated Cereals Development Programme,https://www.nfuonline.com/updates-and-information/cereals-development-programme-2023-24-open-for-applications/,Cereals,<=10,Rice,Yes,NA,All,,orange
34,Integrated Cereals Development Programme,https://www.nfuonline.com/updates-and-information/cereals-development-programme-2023-24-open-for-applications/,Cereals,<=10,Wheat,Yes,NA,All,,orange
35,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Akola,,
36,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Buldhana,,
37,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Washim,,
38,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Yavatmal,,
39,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Nagpur,,
40,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Wardha,,
41,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Sangli,,
42,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Satara,,
43,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Solapur,,
44,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Osmanabad,,
45,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Latur,,
46,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Jalgaon,,
47,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sunflower,Yes,NA,Pune,,
48,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sunflower,Yes,NA,Nashik,,
49,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sesame,Yes,NA,Osmanabad,,
50,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sunflower,Yes,NA,Solapur,,
51,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sesame,Yes,NA,Latur,,
52,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sesame,Yes,NA,Jalna,,
53,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sesame,Yes,NA,Parbhani,,
54,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sesame,Yes,NA,Nanded,,
55,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Mustard,Yes,NA,Dhule,,
56,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Mustard,Yes,NA,Jalgaon,,
57,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Mustard,Yes,NA,Buldhana,,
58,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Mustard,Yes,NA,Washim,,
59,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Mustard,Yes,NA,Yavatmal,,
60,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Orange,Yes,<=100000,Nagpur,,
61,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Amravati,,
62,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Buldhana,,
63,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Yavatmal,,
64,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Washim,,
65,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Wardha,,
66,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Nagpur,,
67,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Ahmednagar,,
68,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Pune,,
69,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Osmanabad,,
70,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Latur,,
71,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Beed,,
72,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Aurangabad,,
73,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Solapur,,
74,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Pune,,
75,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Osmanabad,,
76,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Beed,,
77,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Latur,,
78,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Nanded,,
79,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Grapes,Yes,<=100000,Sangli,,
80,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Grapes,Yes,<=100000,Solapur,,
81,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Grapes,Yes,<=100000,Ahmednagar,,
82,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Grapes,Yes,<=100000,Pune,,
83,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Banana,Yes,<=100000,Dhule,,
84,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Banana,Yes,<=100000,Nandurbar,,
85,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Banana,Yes,<=100000,Ahmednagar,,
86,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Banana,Yes,<=100000,Pune,,
87,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Banana,Yes,<=100000,Satara,,
88,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Guava,Yes,<=100000,Pune,,
89,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Guava,Yes,<=100000,Satara,,
90,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Guava,Yes,<=100000,Sangli,,
91,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Guava,Yes,<=100000,Kolhapur ,,
92,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Pomegranate,Yes,<=100000,Sangli,,
93,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Pomegranate,Yes,<=100000,Solapur,,
94,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Pomegranate,Yes,<=100000,Ahmednagar,,
95,National Horticulture Mission (NHM),https://hortnet.gov.in/Login-mah.aspx,Fruits,<=10,Pomegranate,Yes,<=100000,Pune,,
96,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Akola,,
97,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Akola,,
98,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Akola,,
99,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Amravati,,
100,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Aurangabad,,
101,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Beed,,
102,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Buldhana,,
103,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Hingoli,,
104,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Jalgaon,,
105,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Jalna,,
106,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Latur,,
107,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Nanded,,
108,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Dharashiv,,
109,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Parbhani,,
110,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Wardha,,
111,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Washim,,
112,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Yavatmal,,
113,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Amravati,,
114,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Aurangabad,,
115,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Beed,,
116,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Buldhana,,
117,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Hingoli,,
118,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Jalgaon,,
119,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Jalna,,
120,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Latur,,
121,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Nanded,,
122,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Dharashiv,,
123,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Parbhani,,
124,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Wardha,,
125,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Washim,,
126,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Orange,Yes,<=150000,Yavatmal,,
127,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Amravati,,
128,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Aurangabad,,
129,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Beed,,
130,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Buldhana,,
131,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Hingoli,,
132,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Jalgaon,,
133,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Jalna,,
134,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Latur,,
135,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Nanded,,
136,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Dharashiv,,
137,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Parbhani,,
138,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Wardha,,
139,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Washim,,
140,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Grapes,Yes,<=150000,Yavatmal,,
141,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Amravati,,
142,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Aurangabad,,
143,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Beed,,
144,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Buldhana,,
145,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Hingoli,,
146,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Jalgaon,,
147,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Jalna,,
148,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Latur,,
149,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Nanded,,
150,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Dharashiv,,
151,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Parbhani,,
152,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Wardha,,
153,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Washim,,
154,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Onion,Yes,<=150000,Yavatmal,,
155,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Grapes,Yes,<=150000,Nashik,,
156,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Orange,Yes,<=150000,Nashik,,
157,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Banana,Yes,<=150000,Aurangabad,,
158,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Banana,Yes,<=150000,Nagpur,,
159,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Banana,Yes,<=150000,Amravati,,
160,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Grapes,Yes,<=150000,Aurangabad,,
161,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Grapes,Yes,<=150000,Nagpur,,
162,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Grapes,Yes,<=150000,Amravati,,
163,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Orange,Yes,<=150000,Aurangabad,,
164,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Orange,Yes,<=150000,Nagpur,,
165,Dr. Babasaheb Ambedkar Krishi Swavalamb and Yojana,https://agriwell.mahaonline.gov.in/,Fruits,<=1,Orange,Yes,<=150000,Amravati,,
166,Birsa Munda Krishi Kranti Yojana,https://agriwell.mahaonline.gov.in/,All,<=15,All,Yes,<=150000,Nashik,,
167,Birsa Munda Krishi Kranti Yojana,https://agriwell.mahaonline.gov.in/,All,<=15,All,Yes,<=150000,Aurangabad,,
168,Birsa Munda Krishi Kranti Yojana,https://agriwell.mahaonline.gov.in/,All,<=15,All,Yes,<=150000,Nagpur,,
169,Birsa Munda Krishi Kranti Yojana,https://agriwell.mahaonline.gov.in/,All,<=15,All,Yes,<=150000,Amravati ,,
170,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Pulses,             NA,Cotton,Yes,<=150000,All,,
171,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Oilseeds,             NA,Cotton,Yes,<=150000,All,,
172,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Oilseeds,             NA,Rice,Yes,<=150000,All,,
173,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Oilseeds,             NA,Tur,Yes,<=150000,All,,
174,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Oilseeds,             NA,Gram,Yes,<=150000,All,,
175,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Oilseeds,             NA,Maize,Yes,<=150000,All,,
176,Crop Pest Surveillance and Advisory Project (CROPSAP),https://cropsap.maharashtra.gov.in/,Pulses,             NA,Soybean,Yes,<=150000,All,,
